S-10B
S-10B Google 0 [0.4342857142857143] S:30, I:2, D:42
S-10B Kaldi 0 [0.24571428571428572] S:20, I:2, D:21
S-10B Google 1 [0.38869257950530034] S:64, I:4, D:41
S-10B Kaldi 1 [0.23674911660777384] S:48, I:2, D:17
S-10B Google 2 [0.290519877675841] S:51, I:2, D:39
S-10B Kaldi 2 [0.2018348623853211] S:41, I:4, D:20
S-10B Google 3 [0.29591836734693877] S:48, I:2, D:34
S-10B Kaldi 3 [0.20748299319727892] S:43, I:2, D:16
S-10B Google 4 [0.3182844243792325] S:85, I:2, D:53
S-10B Kaldi 4 [0.2144469525959368] S:67, I:4, D:24
S-10B Google 5 [0.25900900900900903] S:60, I:9, D:44
S-10B Kaldi 5 [0.17117117117117117] S:49, I:11, D:16
S-10B Google 6 [0.3] S:26, I:0, D:20
S-10B Kaldi 6 [0.19375] S:14, I:2, D:15
S-10B Google 7 [0.31063829787234043] S:54, I:2, D:17
S-10B Kaldi 7 [0.23829787234042554] S:38, I:0, D:18
S-10B Google 8 [0.2857142857142857] S:49, I:0, D:21
S-10B Kaldi 8 [0.17857142857142858] S:27, I:4, D:12
S-21A
S-21A Google 0 [0.6705426356589147] S:73, I:0, D:99
S-21A Kaldi 0 [0.4689922480620155] S:66, I:1, D:50
S-21A Google 1 [0.5977859778597786] S:62, I:0, D:99
S-21A Kaldi 1 [0.3948339483394834] S:63, I:1, D:43
S-21A Google 2 [0.634020618556701] S:45, I:1, D:76
S-21A Kaldi 2 [0.3865979381443299] S:49, I:5, D:21
S-21A Google 3 [0.6252821670428894] S:129, I:0, D:146
S-21A Kaldi 3 [0.37697516930022573] S:86, I:4, D:77
S-21A Google 4 [0.6267190569744597] S:142, I:1, D:173
S-21A Kaldi 4 [0.4400785854616896] S:127, I:9, D:87
S-21A Google 5 [0.6470588235294118] S:80, I:2, D:88
S-21A Kaldi 5 [0.41911764705882354] S:56, I:2, D:55
S-21A Google 6 [0.6336633663366337] S:22, I:0, D:37
S-21A Kaldi 6 [0.43564356435643564] S:18, I:0, D:24
S-21A Google 7 [0.6176470588235294] S:7, I:0, D:10
S-21A Kaldi 7 [0.35294117647058826] S:8, I:0, D:3
S-21A Google 8 [0.4594594594594595] S:6, I:0, D:9
S-21A Kaldi 8 [0.2702702702702703] S:5, I:2, D:3
S-21A Google 9 [0.775] S:13, I:0, D:15
S-21A Kaldi 9 [0.525] S:10, I:0, D:11
S-21A Google 10 [0.5027932960893855] S:40, I:0, D:43
S-21A Kaldi 10 [0.3016759776536313] S:29, I:1, D:24
S-21A Google 11 [0.6420454545454546] S:43, I:0, D:63
S-21A Kaldi 11 [0.48295454545454547] S:39, I:0, D:45
S-7C
S-7C Google 0 [0.32228915662650603] S:115, I:9, D:90
S-7C Kaldi 0 [0.22439759036144577] S:100, I:9, D:40
S-7C Google 1 [0.3818984547461369] S:107, I:7, D:57
S-7C Kaldi 1 [0.24944812362030905] S:81, I:14, D:18
S-7C Google 2 [0.29775280898876405] S:83, I:2, D:73
S-7C Kaldi 2 [0.2247191011235955] S:82, I:15, D:23
S-7C Google 3 [0.41235392320534225] S:113, I:5, D:128
S-7C Kaldi 3 [0.27712854757929883] S:98, I:3, D:65
S-7C Google 4 [0.3473193473193473] S:74, I:1, D:72
S-7C Kaldi 4 [0.2564102564102564] S:60, I:11, D:39
S-7C Google 5 [0.36774193548387096] S:103, I:5, D:120
S-7C Kaldi 5 [0.24838709677419354] S:100, I:12, D:42
S-19C
S-19C Google 0 [0.5586854460093896] S:59, I:1, D:53
S-19C Kaldi 0 [0.40375586854460094] S:49, I:12, D:25
S-19C Google 1 [0.6739130434782609] S:9, I:0, D:48
S-19C Kaldi 1 [0.5217391304347826] S:28, I:1, D:19
S-19C Google 2 [0.48] S:53, I:2, D:51
S-19C Kaldi 2 [0.29333333333333333] S:40, I:5, D:21
S-19C Google 3 [0.625] S:35, I:1, D:34
S-19C Kaldi 3 [0.4666666666666667] S:35, I:2, D:16
S-19C Google 4 [0.5285171102661597] S:70, I:2, D:66
S-19C Kaldi 4 [0.3269961977186312] S:50, I:2, D:32
S-19C Google 5 [0.5886075949367089] S:42, I:2, D:45
S-19C Kaldi 5 [0.46835443037974683] S:42, I:7, D:25
S-19C Google 6 [0.4631578947368421] S:21, I:0, D:22
S-19C Kaldi 6 [0.4105263157894737] S:23, I:5, D:11
S-19C Google 7 [0.4032258064516129] S:14, I:0, D:10
S-19C Kaldi 7 [0.3709677419354839] S:17, I:0, D:3
S-19C Google 8 [0.3076923076923077] S:9, I:0, D:9
S-19C Kaldi 8 [0.23076923076923078] S:12, I:0, D:3
