M: 8 	 maxIter: 20 	 S: 32 	 Accuracy: 1.0
M: 8 	 maxIter: 20 	 S: 24 	 Accuracy: 1.0
M: 8 	 maxIter: 20 	 S: 16 	 Accuracy: 1.0
M: 8 	 maxIter: 20 	 S: 8 	 Accuracy: 1.0
M: 8 	 maxIter: 20 	 S: 4 	 Accuracy: 1.0
M: 8 	 maxIter: 20 	 S: 32 	 Accuracy: 1.0
M: 7 	 maxIter: 20 	 S: 32 	 Accuracy: 1.0
M: 6 	 maxIter: 20 	 S: 32 	 Accuracy: 1.0
M: 5 	 maxIter: 20 	 S: 32 	 Accuracy: 0.9375
M: 4 	 maxIter: 20 	 S: 32 	 Accuracy: 1.0
M: 3 	 maxIter: 20 	 S: 32 	 Accuracy: 1.0
M: 2 	 maxIter: 20 	 S: 32 	 Accuracy: 0.9375
M: 1 	 maxIter: 20 	 S: 32 	 Accuracy: 0.9375
M: 8 	 maxIter: 20 	 S: 32 	 Accuracy: 1.0
M: 8 	 maxIter: 18 	 S: 32 	 Accuracy: 0.96875
M: 8 	 maxIter: 16 	 S: 32 	 Accuracy: 1.0
M: 8 	 maxIter: 14 	 S: 32 	 Accuracy: 1.0
M: 8 	 maxIter: 12 	 S: 32 	 Accuracy: 1.0
M: 8 	 maxIter: 10 	 S: 32 	 Accuracy: 1.0
M: 8 	 maxIter: 8 	 S: 32 	 Accuracy: 1.0
M: 8 	 maxIter: 6 	 S: 32 	 Accuracy: 1.0
M: 8 	 maxIter: 4 	 S: 32 	 Accuracy: 1.0
M: 8 	 maxIter: 2 	 S: 32 	 Accuracy: 0.96875
M: 8 	 maxIter: 0 	 S: 32 	 Accuracy: 1.0
